,Year,Province,total
409,2559,mukdahan,646
410,2559,nakhonnayok,720
411,2559,nakhonpathom,1938
412,2559,nakhonphanom,1173
413,2559,nakhonratchasima,4436
414,2559,nakhonsawan,1874
415,2559,nakhonsithammarat,2655
416,2559,nan,1241
417,2559,narathiwat,2045
418,2559,nongbualamphu,638
419,2559,nongkhai,881
420,2559,nonthaburi,999
421,2559,pathumthani,2479
422,2559,pattani,1850
423,2559,phangnga,715
424,2559,phatthalung,1115
425,2559,phayao,1256
426,2559,phetchabun,1395
427,2559,phetchaburi,1078
428,2559,phichit,954
429,2559,phitsanulok,2483
430,2559,phrae,1093
431,2559,phranakhonsi-ayutthaya,2026
432,2559,phuket,1206
433,2559,prachinburi,1121
434,2559,prachuapkhirikhan,983
435,2559,ranong,467
436,2559,ratchaburi,2109
437,2559,rayong,1731
438,2559,roi-et,1983
439,2559,sakaeo,755
440,2559,sakonnakhon,1848
441,2559,samutprakan,1960
442,2559,samutsakhon,1396
443,2559,samutsongkhram,545
444,2559,saraburi,1567
445,2559,satun,741
446,2559,singburi,1698
447,2559,sisaket,1815
448,2559,songkhla,4795
449,2559,sukhothai,1116
450,2559,suphanburi,1724
451,2559,suratthani,2574
452,2559,surin,2031
453,2559,tak,1097
454,2559,trang,1449
455,2559,trat,641
456,2559,ubonratchathani,3634
457,2559,udonthani,2638
458,2559,uthaithani,673
459,2559,utradit,1104
460,2559,yala,1659
461,2559,yasothon,876
462,2560,amnatcharoen,642
463,2560,angthong,703
464,2560,buengkan,572
465,2560,buriram,2560
466,2560,chachoengthrao,1305
467,2560,chainat,711
468,2560,chaiyaphum,1720
469,2560,chanthaburi,1590
470,2560,chiangmai,5881
471,2560,chiangrai,2619
472,2560,chonburi,4764
473,2560,chumphon,1084
474,2560,kalasin,1501
475,2560,kamphaengphet,1069
476,2560,kanchanaburi,1497
477,2560,khonkaen,5240
478,2560,krabi,846
479,2560,krungthepmahanakhon,32497
480,2560,lampang,2005
481,2560,lamphun,978
482,2560,loei,1217
483,2560,lopburi,1599
484,2560,maehongson,548
485,2560,mahasarakham,1703
486,2560,mukdahan,702
487,2560,nakhonnayok,989
488,2560,nakhonpathom,1941
489,2560,nakhonphanom,1165
490,2560,nakhonratchasima,4893
491,2560,nakhonsawan,1832
492,2560,nakhonsithammarat,2679
493,2560,nan,1253
494,2560,narathiwat,2017
495,2560,nongbualamphu,671
496,2560,nongkhai,921
497,2560,nonthaburi,2752
498,2560,pathumthani,2082
499,2560,pattani,1838
500,2560,phangnga,707
501,2560,phatthalung,1112
502,2560,phayao,1258
503,2560,phetchabun,1468
504,2560,phetchaburi,1090
505,2560,phichit,978
506,2560,phitsanulok,2570
507,2560,phrae,1087
508,2560,phranakhonsi-ayutthaya,1604
509,2560,phuket,1286
510,2560,prachinburi,931
511,2560,prachuapkhirikhan,1022
512,2560,ranong,471
513,2560,ratchaburi,2154
514,2560,rayong,1834
515,2560,roi-et,2140
516,2560,sakaeo,739
517,2560,sakonnakhon,1952
518,2560,samutprakan,1976
519,2560,samutsakhon,1540
520,2560,samutsongkhram,528
521,2560,saraburi,1716
522,2560,satun,728
523,2560,singburi,746
524,2560,sisaket,1968
525,2560,songkhla,4768
526,2560,sukhothai,1130
527,2560,suphanburi,1750
528,2560,suratthani,2709
529,2560,surin,2192
530,2560,tak,1118
531,2560,trang,1479
532,2560,trat,633
533,2560,ubonratchathani,3918
534,2560,udonthani,2677
535,2560,uthaithani,680
536,2560,utradit,1120
537,2560,yala,1632
538,2560,yasothon,892
539,2561,amnatcharoen,648
540,2561,angthong,708
541,2561,buengkan,631
542,2561,buriram,2587
543,2561,chachoengthrao,1347
544,2561,chainat,774
545,2561,chaiyaphum,1686
546,2561,chanthaburi,1688
547,2561,chiangmai,5935
548,2561,chiangrai,2533
549,2561,chonburi,4534
550,2561,chumphon,1093
551,2561,kalasin,1763
552,2561,kamphaengphet,1136
553,2561,kanchanaburi,1487
554,2561,khonkaen,5563
555,2561,krabi,862
556,2561,krungthepmahanakhon,33204
557,2561,lampang,1990
558,2561,lamphun,961
559,2561,loei,1262
560,2561,lopburi,1621
561,2561,maehongson,517
562,2561,mahasarakham,1665
563,2561,mukdahan,760
564,2561,nakhonnayok,984
565,2561,nakhonpathom,1973
566,2561,nakhonphanom,1181
567,2561,nakhonratchasima,5358
568,2561,nakhonsawan,1911
569,2561,nakhonsithammarat,2817
570,2561,nan,1252
571,2561,narathiwat,2013
572,2561,nongbualamphu,673
573,2561,nongkhai,989
574,2561,nonthaburi,2923
575,2561,pathumthani,2213
576,2561,pattani,1854
577,2561,phangnga,725
578,2561,phatthalung,1124
579,2561,phayao,1193
580,2561,phetchabun,1496
581,2561,phetchaburi,1098
582,2561,phichit,976
583,2561,phitsanulok,2544
584,2561,phrae,1120
585,2561,phranakhonsi-ayutthaya,1583
586,2561,phuket,1543
587,2561,prachinburi,1059
588,2561,prachuapkhirikhan,1019
589,2561,ranong,469
590,2561,ratchaburi,2161
591,2561,rayong,1841
592,2561,roi-et,2195
593,2561,sakaeo,854
594,2561,sakonnakhon,2008
595,2561,samutprakan,2219
596,2561,samutsakhon,1759
597,2561,samutsongkhram,502
598,2561,saraburi,1788
599,2561,satun,776
600,2561,singburi,742
601,2561,sisaket,2127
602,2561,songkhla,4824
603,2561,sukhothai,1115
604,2561,suphanburi,1808
605,2561,suratthani,2710
606,2561,surin,2242
607,2561,tak,1160
608,2561,trang,1523
609,2561,trat,701
610,2561,ubonratchathani,4157
611,2561,udonthani,2737
612,2561,uthaithani,691
613,2561,utradit,1160
614,2561,yala,1691
615,2561,yasothon,953
616,2562,amnatcharoen,665
617,2562,angthong,712
618,2562,buengkan,623
619,2562,buriram,2753
620,2562,chachoengthrao,1514
621,2562,chainat,779
622,2562,chaiyaphum,1773
623,2562,chanthaburi,1801
624,2562,chiangmai,6347
625,2562,chiangrai,2684
626,2562,chonburi,5267
627,2562,chumphon,1157
628,2562,kalasin,1783
629,2562,kamphaengphet,1155
630,2562,kanchanaburi,1674
631,2562,khonkaen,5470
632,2562,krabi,878
633,2562,krungthepmahanakhon,34825
634,2562,lampang,2055
635,2562,lamphun,992
636,2562,loei,1282
637,2562,lopburi,1658
638,2562,maehongson,547
639,2562,mahasarakham,1733
640,2562,mukdahan,751
641,2562,nakhonnayok,976
642,2562,nakhonpathom,2096
643,2562,nakhonphanom,1202
644,2562,nakhonratchasima,5729
645,2562,nakhonsawan,2115
646,2562,nakhonsithammarat,2974
647,2562,nan,1258
648,2562,narathiwat,1996
649,2562,nongbualamphu,689
650,2562,nongkhai,1005
651,2562,nonthaburi,2936
652,2562,pathumthani,2248
653,2562,pattani,1835
654,2562,phangnga,742
655,2562,phatthalung,1129
656,2562,phayao,1214
657,2562,phetchabun,1583
658,2562,phetchaburi,1109
659,2562,phichit,996
660,2562,phitsanulok,2628
661,2562,phrae,1092
662,2562,phranakhonsi-ayutthaya,1823
663,2562,phuket,1583
664,2562,prachinburi,1057
665,2562,prachuapkhirikhan,1062
666,2562,ranong,497
667,2562,ratchaburi,2230
668,2562,rayong,1970
669,2562,roi-et,2213
670,2562,sakaeo,973
671,2562,sakonnakhon,2047
672,2562,samutprakan,2880
673,2562,samutsakhon,1882
674,2562,samutsongkhram,522
675,2562,saraburi,1866
676,2562,satun,772
677,2562,singburi,728
678,2562,sisaket,2160
679,2562,songkhla,4788
680,2562,sukhothai,1108
681,2562,suphanburi,1905
682,2562,suratthani,3004
683,2562,surin,2390
684,2562,tak,1229
685,2562,trang,1610
686,2562,trat,708
687,2562,ubonratchathani,4290
688,2562,udonthani,2749
689,2562,uthaithani,717
690,2562,utradit,1175
691,2562,yala,1592
692,2562,yasothon,977
693,2563,amnatcharoen,658
694,2563,angthong,702
695,2563,buengkan,642
696,2563,buriram,2784
697,2563,chachoengthrao,1578
698,2563,chainat,771
699,2563,chaiyaphum,1745
700,2563,chanthaburi,1812
701,2563,chiangmai,6457
702,2563,chiangrai,2722
703,2563,chonburi,5338
704,2563,chumphon,1177
705,2563,kalasin,1804
706,2563,kamphaengphet,1145
707,2563,kanchanaburi,1683
708,2563,khonkaen,5461
709,2563,krabi,923
710,2563,krungthepmahanakhon,37405
711,2563,lampang,2075
712,2563,lamphun,953
713,2563,loei,1293
714,2563,lopburi,1681
715,2563,maehongson,537
716,2563,mahasarakham,1788
717,2563,mukdahan,758
718,2563,nakhonnayok,949
719,2563,nakhonpathom,2160
720,2563,nakhonphanom,1220
721,2563,nakhonratchasima,5607
722,2563,nakhonsawan,2078
723,2563,nakhonsithammarat,2996
724,2563,nan,1236
725,2563,narathiwat,1981
726,2563,nongbualamphu,699
727,2563,nongkhai,1029
728,2563,nonthaburi,3073
729,2563,pathumthani,2230
730,2563,pattani,1816
731,2563,phangnga,724
732,2563,phatthalung,1137
733,2563,phayao,1206
734,2563,phetchabun,1583
735,2563,phetchaburi,1102
736,2563,phichit,1004
737,2563,phitsanulok,2649
738,2563,phrae,1094
739,2563,phranakhonsi-ayutthaya,1752
740,2563,phuket,1597
741,2563,prachinburi,1048
742,2563,prachuapkhirikhan,1069
743,2563,ranong,489
744,2563,ratchaburi,2151
745,2563,rayong,1922
746,2563,roi-et,2260
747,2563,sakaeo,972
748,2563,sakonnakhon,2140
749,2563,samutprakan,2911
750,2563,samutsakhon,1892
751,2563,samutsongkhram,507
752,2563,saraburi,1875
753,2563,satun,767
754,2563,singburi,718
755,2563,sisaket,2171
756,2563,songkhla,4696
757,2563,sukhothai,1094
758,2563,suphanburi,1898
759,2563,suratthani,3038
760,2563,surin,2371
761,2563,tak,1242
762,2563,trang,1611
763,2563,trat,697
764,2563,ubonratchathani,4382
765,2563,udonthani,3097
766,2563,uthaithani,705
767,2563,utradit,1174
768,2563,yala,1564
769,2563,yasothon,960
770,2564,amnatcharoen,668
771,2564,angthong,714
772,2564,buengkan,677
773,2564,buriram,3071
774,2564,chachoengthrao,1700
775,2564,chainat,787
776,2564,chaiyaphum,1996
777,2564,chanthaburi,1898
778,2564,chiangmai,6673
779,2564,chiangrai,2845
780,2564,chonburi,6161
781,2564,chumphon,1248
782,2564,kalasin,1893
783,2564,kamphaengphet,1190
784,2564,kanchanaburi,1803
