,ปี,จังหวัด,จำนวน,province_en,area_sqkm
187,2556,พัทลุง,948,phatthalung,3858.38806176758
188,2556,พิจิตร,823,phichit,4318.65126180923
189,2556,พิษณุโลก,1780,phitsanulok,10598.92285961757
190,2556,ภูเก็ต,927,phuket,550.09843869971
191,2556,มหาสารคาม,1409,mahasarakham,5582.58568113667
192,2556,มุกดาหาร,614,mukdahan,4092.96993557997
193,2556,ยะลา,1537,yala,4467.26894141248
194,2556,ยโสธร,858,yasothon,4096.15430996103
195,2556,ระนอง,440,ranong,3223.65325675301
196,2556,ระยอง,1432,rayong,3665.05762206486
197,2556,ราชบุรี,1964,ratchaburi,5193.5302239491
198,2556,ร้อยเอ็ด,1830,roiet,7831.5106648173
199,2556,ลพบุรี,1422,lopburi,6501.03118525925
200,2556,ลำปาง,1645,lampang,12500.43740698581
201,2556,ลำพูน,775,lamphun,4481.18815811357
202,2556,ศรีสะเกษ,1785,sisaket,8869.49885872576
203,2556,สกลนคร,1564,sakonnakhon,9525.60546877644
204,2556,สงขลา,4185,songkhla,7745.41218398206
205,2556,สตูล,663,satun,3011.55865450342
206,2556,สมุทรปราการ,1161,samutprakan,965.96104508808
207,2556,สมุทรสงคราม,503,samutsongkhram,412.48672828899
208,2556,สมุทรสาคร,985,samutsakhon,866.06545786264
209,2556,สระบุรี,1674,saraburi,3487.650451485
210,2556,สระแก้ว,743,sakaeo,6815.11503498248
211,2556,สิงห์บุรี,781,singburi,818.42840644624
212,2556,สุพรรณบุรี,1423,suphanburi,5409.26108410415
213,2556,สุราษฎร์ธานี,2039,suratthani,13086.21372902809
214,2556,สุรินทร์,1651,surin,8809.93517776871
215,2556,สุโขทัย,974,sukhothai,6672.34183636511
216,2556,หนองคาย,793,nongkhai,3264.2368570057
217,2556,หนองบัวลำภู,560,nongbualamphu,4091.19415926986
218,2556,อำนาจเจริญ,587,amnatcharoen,3262.61378799809
219,2556,อุดรธานี,2279,udonthani,11032.27063166398
220,2556,อุตรดิตถ์,874,uttaradit,7867.48028212876
221,2556,อุทัยธานี,604,uthaithani,6649.64380504946
222,2556,อุบลราชธานี,3514,ubonratchathani,15472.47978609577
223,2556,อ่างทอง,735,angthong,948.98724583937
224,2556,เชียงราย,1482,chiangrai,11583.01236533042
225,2556,เชียงใหม่,5181,chiangmai,22056.88731834835
226,2556,เพชรบุรี,936,phetchaburi,6173.00173882862
227,2556,เพชรบูรณ์,1008,phetchabun,12333.1560788834
228,2556,เลย,1078,loei,10490.07923183725
229,2556,แพร่,923,phrae,6484.53249747241
230,2556,แม่ฮ่องสอน,451,maehongson,12784.28056691474
231,2557,กระบี่,1010,krabi,5319.41524737463
232,2557,กรุงเทพมหานคร,28088,bangkok,1566.57785515371
233,2557,กาญจนบุรี,1383,kanchanaburi,19405.04297919269
234,2557,กาฬสินธุ์,1502,kalasin,6898.98345578631
235,2557,กำแพงเพชร,726,kamphaengphet,8520.49476797851
236,2557,ขอนแก่น,5206,khonkaen,10629.00058294659
237,2557,จันทบุรี,1494,chanthaburi,6404.21977766077
238,2557,ฉะเชิงเทรา,1270,chachoengsao,5166.90358063618
239,2557,ชลบุรี,4336,chonburi,4510.47957863486
240,2557,ชัยนาท,1043,chainat,2511.79747645949
241,2557,ชัยภูมิ,1657,chaiyaphum,12679.25394167537
242,2557,ชุมพร,2587,chumphon,6010.28780369493
243,2557,ตรัง,1088,trang,4733.67163479885
244,2557,ตราด,683,trat,2852.41686477382
245,2557,ตาก,1040,tak,17318.85703133057
246,2557,นครนายก,931,nakhonnayok,2139.67123307373
247,2557,นครปฐม,1812,nakhonpathom,2141.72859749704
248,2557,นครพนม,609,nakhonphanom,5591.2248017037
249,2557,นครราชสีมา,4529,nakhonratchasima,20688.81885376943
250,2557,นครศรีธรรมราช,2744,nakhonsithammarat,9892.39155890953
251,2557,นครสวรรค์,956,nakhonsawan,9529.875918751
252,2557,นนทบุรี,2356,nonthaburi,640.29422318966
253,2557,นราธิวาส,1411,narathiwat,4487.14355388134
254,2557,น่าน,1297,nan,12165.11409446458
255,2557,บึงกาฬ,1152,buengkan,3979.54529298928
256,2557,บุรีรัมย์,2223,buriram,10047.11268203788
257,2557,ปทุมธานี,1904,pathumthani,1521.51426750265
258,2557,ประจวบคีรีขันธ์,2131,prachuapkhirikhan,6427.18463137311
259,2557,ปราจีนบุรี,1001,prachinburi,5020.33579717407
260,2557,ปัตตานี,2011,pattani,1975.95499697954
261,2557,พระนครศรีอยุธยา,1556,phranakhonsiayutthaya,2547.00670486463
262,2557,พะเยา,1105,phayao,6189.63595036332
263,2557,พังงา,745,phangnga,4580.06905945326
264,2557,พัทลุง,1542,phatthalung,3858.38806176758
265,2557,พิจิตร,1759,phichit,4318.65126180923
266,2557,พิษณุโลก,2203,phitsanulok,10598.92285961757
267,2557,ภูเก็ต,716,phuket,550.09843869971
268,2557,มหาสารคาม,1606,mahasarakham,5582.58568113667
269,2557,มุกดาหาร,628,mukdahan,4092.96993557997
270,2557,ยะลา,1656,yala,4467.26894141248
271,2557,ยโสธร,922,yasothon,4096.15430996103
272,2557,ระนอง,1090,ranong,3223.65325675301
273,2557,ระยอง,1524,rayong,3665.05762206486
274,2557,ราชบุรี,986,ratchaburi,5193.5302239491
275,2557,ร้อยเอ็ด,1968,roiet,7831.5106648173
276,2557,ลพบุรี,1648,lopburi,6501.03118525925
277,2557,ลำปาง,2043,lampang,12500.43740698581
278,2557,ลำพูน,940,lamphun,4481.18815811357
279,2557,ศรีสะเกษ,1842,sisaket,8869.49885872576
280,2557,สกลนคร,666,sakonnakhon,9525.60546877644
281,2557,สงขลา,4486,songkhla,7745.41218398206
282,2557,สตูล,756,satun,3011.55865450342
283,2557,สมุทรปราการ,1810,samutprakan,965.96104508808
284,2557,สมุทรสงคราม,1070,samutsongkhram,412.48672828899
285,2557,สมุทรสาคร,540,samutsakhon,866.06545786264
286,2557,สระบุรี,1566,saraburi,3487.650451485
287,2557,สระแก้ว,764,sakaeo,6815.11503498248
288,2557,สิงห์บุรี,800,singburi,818.42840644624
289,2557,สุพรรณบุรี,1370,suphanburi,5409.26108410415
290,2557,สุราษฎร์ธานี,474,suratthani,13086.21372902809
291,2557,สุรินทร์,1879,surin,8809.93517776871
292,2557,สุโขทัย,1103,sukhothai,6672.34183636511
293,2557,หนองคาย,2576,nongkhai,3264.2368570057
294,2557,หนองบัวลำภู,1189,nongbualamphu,4091.19415926986
295,2557,อำนาจเจริญ,3675,amnatcharoen,3262.61378799809
296,2557,อุดรธานี,1720,udonthani,11032.27063166398
297,2557,อุตรดิตถ์,1092,uttaradit,7867.48028212876
298,2557,อุทัยธานี,689,uthaithani,6649.64380504946
299,2557,อุบลราชธานี,617,ubonratchathani,15472.47978609577
300,2557,อ่างทอง,737,angthong,948.98724583937
301,2557,เชียงราย,2156,chiangrai,11583.01236533042
302,2557,เชียงใหม่,1238,chiangmai,22056.88731834835
303,2557,เพชรบุรี,1715,phetchaburi,6173.00173882862
304,2557,เพชรบูรณ์,1514,phetchabun,12333.1560788834
305,2557,เลย,851,loei,10490.07923183725
306,2557,แพร่,5667,phrae,6484.53249747241
307,2557,แม่ฮ่องสอน,534,maehongson,12784.28056691474
308,2558,กระบี่,790,krabi,5319.41524737463
309,2558,กรุงเทพมหานคร,27558,bangkok,1566.57785515371
310,2558,กาญจนบุรี,1361,kanchanaburi,19405.04297919269
311,2558,กาฬสินธุ์,1523,kalasin,6898.98345578631
312,2558,กำแพงเพชร,991,kamphaengphet,8520.49476797851
313,2558,ขอนแก่น,5220,khonkaen,10629.00058294659
314,2558,จันทบุรี,1566,chanthaburi,6404.21977766077
315,2558,ฉะเชิงเทรา,1257,chachoengsao,5166.90358063618
316,2558,ชลบุรี,4339,chonburi,4510.47957863486
317,2558,ชัยนาท,719,chainat,2511.79747645949
318,2558,ชัยภูมิ,1596,chaiyaphum,12679.25394167537
319,2558,ชุมพร,1034,chumphon,6010.28780369493
320,2558,ตรัง,1439,trang,4733.67163479885
321,2558,ตราด,662,trat,2852.41686477382
322,2558,ตาก,1083,tak,17318.85703133057
323,2558,นครนายก,962,nakhonnayok,2139.67123307373
324,2558,นครปฐม,1915,nakhonpathom,2141.72859749704
325,2558,นครพนม,1124,nakhonphanom,5591.2248017037
326,2558,นครราชสีมา,4511,nakhonratchasima,20688.81885376943
327,2558,นครศรีธรรมราช,2594,nakhonsithammarat,9892.39155890953
328,2558,นครสวรรค์,1835,nakhonsawan,9529.875918751
329,2558,นนทบุรี,2567,nonthaburi,640.29422318966
330,2558,นราธิวาส,2032,narathiwat,4487.14355388134
331,2558,น่าน,1207,nan,12165.11409446458
